id,weight,date,employed,gender,age,race
1,8.812,2012-04-01,not employed,female,senior,visible minority
2,9.609,2012-04-01,not employed,female,middle age,caucasian
3,14.665,2012-04-01,employed,female,middle age,caucasian
4,14.665,2012-04-01,not employed,female,middle age,caucasian
5,17.556,2012-04-01,not employed,female,middle age,visible minority
6,14.665,2012-04-01,employed,female,youth,aboriginal
7,26.478,2011-01-01,not employed,female,middle age,caucasian
8,5.905,2011-01-01,employed,male,youth,caucasian
9,5.905,2011-01-01,not employed,female,middle age,caucasian
10,21.86,2011-01-01,employed,male,middle age,caucasian
11,5.905,2011-01-01,employed,male,middle age,caucasian
12,26.283,2011-01-01,not employed,male,middle age,caucasian
13,26.283,2011-01-01,NA,female,middle age,caucasian
14,5.905,2011-01-01,employed,female,middle age,caucasian
15,26.478,2011-01-01,not employed,female,middle age,visible minority
16,30.38,2011-02-01,not employed,female,senior,caucasian
17,30.341,2011-02-01,employed,male,youth,caucasian
18,7.838,2011-02-01,employed,female,senior,caucasian
19,30.341,2011-02-01,employed,male,youth,visible minority
20,30.341,2011-02-01,employed,female,middle age,visible minority
21,7.838,2011-02-01,employed,male,youth,caucasian
22,30.459,2011-02-01,employed,female,senior,caucasian
23,30.459,2011-02-01,not employed,male,middle age,visible minority
24,4.348,2011-03-01,not employed,male,middle age,aboriginal
25,18.395,2011-03-01,employed,female,middle age,caucasian
26,18.348,2011-03-01,not employed,female,middle age,caucasian
27,18.59,2011-03-01,employed,female,youth,caucasian
28,4.348,2011-03-01,not employed,male,middle age,visible minority
29,18.348,2011-03-01,not employed,female,middle age,caucasian
30,18.348,2011-03-01,not employed,female,senior,caucasian
31,18.478,2011-03-01,employed,male,senior,caucasian
32,18.348,2011-03-01,employed,female,senior,caucasian
33,18.59,2011-03-01,employed,female,middle age,caucasian
34,18.395,2011-03-01,not employed,male,senior,aboriginal
35,4.348,2011-03-01,not employed,male,middle age,caucasian
36,4.348,2011-03-01,employed,male,senior,caucasian
37,18.478,2011-03-01,not employed,male,middle age,caucasian
38,4.348,2011-03-01,employed,male,middle age,caucasian
39,18.348,2011-03-01,not employed,female,middle age,caucasian
40,17.592,2011-04-01,employed,male,senior,aboriginal
41,16.348,2011-04-01,employed,female,middle age,aboriginal
42,17.592,2011-04-01,not employed,female,middle age,visible minority
43,17.592,2011-04-01,employed,female,senior,caucasian
44,6.477,2011-04-01,employed,female,senior,visible minority
45,16.348,2011-04-01,not employed,male,middle age,aboriginal
46,6.477,2011-04-01,NA,male,middle age,caucasian
47,11.943,2011-04-01,employed,male,middle age,visible minority
48,16.348,2011-04-01,employed,male,middle age,caucasian
49,16.471,2011-04-01,employed,female,youth,caucasian
50,17.592,2011-04-01,not employed,female,middle age,visible minority
51,6.477,2011-04-01,not employed,female,middle age,visible minority
52,6.205,2011-05-01,employed,female,middle age,visible minority
53,28.194,2011-05-01,not employed,male,middle age,visible minority
54,32.619,2011-06-01,not employed,male,youth,caucasian
55,8.631,2011-06-01,employed,female,middle age,caucasian
56,15.445,2011-06-01,employed,female,youth,visible minority
57,15.343,2011-06-01,employed,female,middle age,caucasian
58,15.363,2011-06-01,not employed,female,youth,caucasian
59,15.343,2011-06-01,employed,female,senior,caucasian
60,32.585,2011-06-01,employed,male,senior,caucasian
61,24.115,2011-07-01,not employed,female,youth,aboriginal
62,24.379,2011-07-01,not employed,female,middle age,aboriginal
63,3.872,2011-07-01,employed,female,senior,caucasian
64,24.379,2011-07-01,employed,female,middle age,visible minority
65,8.298,2011-07-01,employed,female,middle age,caucasian
66,51.519,2011-07-01,employed,female,senior,caucasian
67,3.872,2011-07-01,employed,female,senior,caucasian
68,51.519,2011-07-01,not employed,female,middle age,visible minority
69,50.922,2011-07-01,employed,female,middle age,caucasian
70,4.053,2011-08-01,not employed,male,middle age,caucasian
