id,weight,date,employed,race,age,earnings,gender
1,21.86,2011-01-01,not employed,visible minority,senior,3683.3333333333335,female
2,21.86,2011-01-01,not employed,visible minority,middle age,NA,male
3,21.86,2011-01-01,not employed,visible minority,middle age,NA,male
4,21.86,2011-01-01,employed,caucasian,middle age,NA,male
5,26.478,2011-01-01,employed,caucasian,middle age,NA,male
6,21.86,2011-01-01,not employed,caucasian,senior,NA,female
7,21.86,2011-01-01,employed,caucasian,middle age,NA,female
8,30.161,2011-02-01,employed,caucasian,middle age,NA,female
9,7.838,2011-02-01,employed,caucasian,youth,NA,female
10,7.838,2011-02-01,not employed,caucasian,senior,NA,male
11,7.838,2011-02-01,not employed,caucasian,middle age,NA,female
12,30.388,2011-02-01,employed,caucasian,middle age,NA,female
13,7.838,2011-02-01,employed,visible minority,middle age,650,male
14,30.341,2011-02-01,not employed,visible minority,middle age,NA,male
15,18.26,2011-03-01,NA,NA,middle age,780,male
16,4.348,2011-03-01,employed,caucasian,middle age,NA,female
17,18.395,2011-03-01,NA,caucasian,middle age,NA,male
18,18.395,2011-03-01,employed,visible minority,senior,NA,female
19,4.348,2011-03-01,employed,aboriginal,youth,NA,female
20,4.348,2011-03-01,not employed,caucasian,middle age,NA,female
21,18.348,2011-03-01,not employed,visible minority,middle age,NA,female
22,4.348,2011-03-01,employed,visible minority,middle age,NA,male
23,18.59,2011-03-01,employed,caucasian,middle age,NA,female
24,18.348,2011-03-01,not employed,caucasian,middle age,780,female
25,17.592,2011-04-01,not employed,caucasian,middle age,NA,female
26,6.477,2011-04-01,not employed,visible minority,middle age,NA,female
27,16.918,2011-04-01,employed,NA,senior,NA,female
28,17.592,2011-04-01,not employed,caucasian,middle age,1950,female
29,17.592,2011-04-01,not employed,visible minority,middle age,2800,female
30,16.918,2011-04-01,employed,visible minority,senior,2600,female
31,16.918,2011-04-01,not employed,aboriginal,middle age,NA,female
32,17.592,2011-04-01,not employed,visible minority,middle age,NA,male
33,28.332,2011-05-01,not employed,aboriginal,middle age,NA,female
34,6.205,2011-05-01,not employed,visible minority,senior,NA,male
35,28.332,2011-05-01,NA,aboriginal,youth,2392,female
36,6.205,2011-05-01,not employed,caucasian,middle age,NA,female
37,28.495,2011-05-01,not employed,visible minority,senior,NA,female
38,28.243,2011-05-01,employed,caucasian,middle age,3248.2666666666664,male
39,6.205,2011-05-01,employed,caucasian,middle age,NA,male
40,32.369,2011-06-01,employed,caucasian,middle age,NA,male
41,31.938,2011-06-01,employed,visible minority,middle age,1000,male
42,15.179,2011-06-01,not employed,caucasian,youth,NA,female
43,4.091,2011-06-01,employed,caucasian,senior,NA,female
44,3.872,2011-07-01,employed,caucasian,senior,NA,female
45,24.379,2011-07-01,not employed,aboriginal,middle age,NA,female
46,8.298,2011-07-01,employed,visible minority,youth,1383.1999999999998,female
47,51.677,2011-07-01,employed,caucasian,middle age,NA,female
48,24.115,2011-07-01,employed,caucasian,senior,3120,female
49,24.379,2011-07-01,not employed,aboriginal,middle age,NA,male
50,24.115,2011-07-01,employed,NA,middle age,1820,female
51,52.166,2011-07-01,employed,visible minority,middle age,NA,female
52,8.298,2011-07-01,not employed,visible minority,youth,NA,female
53,51.677,2011-07-01,employed,caucasian,middle age,NA,female
54,56.02,2011-08-01,employed,caucasian,youth,390,female
55,20.266,2011-08-01,employed,caucasian,middle age,1625.4333333333332,male
56,46.035,2011-08-01,not employed,caucasian,middle age,2860,male
57,4.053,2011-08-01,not employed,visible minority,senior,NA,male
58,56.337,2011-08-01,employed,caucasian,middle age,NA,female
59,20.201,2011-08-01,not employed,visible minority,senior,NA,male
60,26.4,2011-09-01,NA,caucasian,middle age,953.3333333333334,male
61,26.518,2011-09-01,not employed,caucasian,middle age,NA,female
62,5.117,2011-09-01,employed,aboriginal,senior,NA,male
63,26.518,2011-09-01,NA,caucasian,middle age,1516.6666666666667,male
64,7.462,2011-09-01,employed,caucasian,middle age,NA,female
65,5.117,2011-09-01,employed,caucasian,middle age,NA,female
66,31.848,2011-10-01,employed,caucasian,youth,NA,female
67,37.081,2011-10-01,NA,visible minority,middle age,NA,female
68,20.839,2011-10-01,not employed,visible minority,middle age,NA,female
69,4.627,2011-10-01,employed,NA,middle age,NA,male
70,6.103,2011-10-01,not employed,visible minority,senior,NA,female
71,31.848,2011-10-01,employed,caucasian,senior,NA,male
72,20.764,2011-10-01,employed,NA,senior,NA,female
73,4.657,2011-10-01,employed,caucasian,youth,NA,male
74,20.29,2011-10-01,employed,caucasian,middle age,3484,male
75,31.848,2011-10-01,not employed,aboriginal,middle age,NA,female
76,9.245,2011-10-01,not employed,caucasian,middle age,NA,male
77,10.973,2011-11-01,NA,caucasian,middle age,NA,male
78,29.795,2011-11-01,employed,aboriginal,senior,392.1666666666667,male
79,13.502,2011-11-01,employed,visible minority,middle age,5720,female
80,14.175,2011-11-01,employed,visible minority,middle age,NA,male
81,14.175,2011-11-01,employed,aboriginal,youth,NA,male
82,21.959,2011-11-01,employed,caucasian,middle age,3250,female
83,14.175,2011-11-01,NA,caucasian,senior,NA,male
84,20.916,2011-11-01,employed,visible minority,middle age,NA,female
85,16.67,2011-11-01,employed,visible minority,middle age,NA,male
86,17.267,2011-11-01,not employed,caucasian,youth,754,male
87,25.51,2011-11-01,employed,NA,middle age,2600,female
88,16.448,2011-12-01,employed,caucasian,middle age,NA,female
89,16.475,2011-12-01,employed,caucasian,middle age,2166.6666666666665,female
90,16.427,2011-12-01,not employed,visible minority,middle age,NA,male
91,16.368,2011-12-01,NA,visible minority,middle age,1416.6666666666667,male
92,16.459,2011-12-01,employed,visible minority,senior,NA,male
93,5.356,2011-12-01,employed,caucasian,middle age,NA,male
94,16.475,2011-12-01,employed,caucasian,youth,1599.9999999999998,male
95,4.459,2012-01-01,not employed,caucasian,middle age,NA,male
96,14.422,2012-01-01,not employed,caucasian,middle age,NA,female
97,17.609,2012-01-01,not employed,caucasian,senior,3328,female
98,19.613,2012-01-01,employed,caucasian,middle age,NA,male
99,4.459,2012-01-01,not employed,visible minority,middle age,NA,male
100,19.772,2012-01-01,not employed,visible minority,youth,NA,female
101,14.422,2012-01-01,employed,visible minority,middle age,2535,female
102,8.566,2012-01-01,not employed,caucasian,middle age,NA,female
103,48.349,2012-01-01,employed,caucasian,senior,NA,male
104,14.319,2012-01-01,employed,caucasian,middle age,NA,male
105,4.459,2012-01-01,employed,caucasian,middle age,NA,female
106,14.319,2012-01-01,employed,caucasian,middle age,2532.4,male
107,27.412,2012-01-01,not employed,caucasian,middle age,NA,female
108,6.983,2012-02-01,not employed,caucasian,middle age,NA,female
109,27.323,2012-02-01,employed,caucasian,middle age,NA,female
